Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.2177
Epoch 2/5, Loss: 0.7682
Epoch 3/5, Loss: 0.5965
Epoch 4/5, Loss: 0.4876
Epoch 5/5, Loss: 0.4105
Round 118: Accuracy = 0.8297, Loss = 0.2461, Decision = 0
Round 119: Accuracy = 0.8287, Loss = 0.2496, Decision = 0
Round 120: Accuracy = 0.8283, Loss = 0.2534, Decision = 0
Round 121: Accuracy = 0.8275, Loss = 0.2576, Decision = 0
Round 122: Accuracy = 0.8262, Loss = 0.2615, Decision = 0
Round 123: Accuracy = 0.8251, Loss = 0.2655, Decision = 0
Round 124: Accuracy = 0.8243, Loss = 0.2694, Decision = 0
Round 125: Accuracy = 0.8235, Loss = 0.2735, Decision = 0
Round 126: Accuracy = 0.8224, Loss = 0.2778, Decision = 0
Round 127: Accuracy = 0.8214, Loss = 0.2816, Decision = 0
Round 128: Accuracy = 0.8211, Loss = 0.2858, Decision = 0
Round 129: Accuracy = 0.8201, Loss = 0.2904, Decision = 0
Round 130: Accuracy = 0.8187, Loss = 0.2945, Decision = 0
Round 131: Accuracy = 0.8179, Loss = 0.2983, Decision = 0
Round 132: Accuracy = 0.8178, Loss = 0.3024, Decision = 0
Epoch 1/5, Loss: 0.2288
Epoch 2/5, Loss: 0.1958
Epoch 3/5, Loss: 0.1637
Epoch 4/5, Loss: 0.1427
Epoch 5/5, Loss: 0.1346
Round 133: Accuracy = 0.8165, Loss = 0.1731, Decision = 1
Epoch 1/5, Loss: 0.1288
Epoch 2/5, Loss: 0.1072
Epoch 3/5, Loss: 0.1003
Epoch 4/5, Loss: 0.0982
Epoch 5/5, Loss: 0.0919
Round 134: Accuracy = 0.7942, Loss = 0.1053, Decision = 1
Round 135: Accuracy = 0.8470, Loss = 0.0815, Decision = 0
Round 136: Accuracy = 0.8470, Loss = 0.0829, Decision = 0
Round 137: Accuracy = 0.8464, Loss = 0.0842, Decision = 0
Round 138: Accuracy = 0.8462, Loss = 0.0856, Decision = 0
Round 139: Accuracy = 0.8458, Loss = 0.0871, Decision = 0
Round 140: Accuracy = 0.8456, Loss = 0.0885, Decision = 0
Round 141: Accuracy = 0.8452, Loss = 0.0899, Decision = 0
Round 142: Accuracy = 0.8454, Loss = 0.0916, Decision = 0
Round 143: Accuracy = 0.8443, Loss = 0.0942, Decision = 0
Round 144: Accuracy = 0.8441, Loss = 0.0959, Decision = 0
Round 145: Accuracy = 0.8435, Loss = 0.0981, Decision = 0
Round 146: Accuracy = 0.8430, Loss = 0.0998, Decision = 0
Round 147: Accuracy = 0.8426, Loss = 0.1021, Decision = 0
Round 148: Accuracy = 0.8418, Loss = 0.1042, Decision = 0
Round 149: Accuracy = 0.8409, Loss = 0.1061, Decision = 0
Round 150: Accuracy = 0.8407, Loss = 0.1080, Decision = 0
Round 151: Accuracy = 0.8407, Loss = 0.1105, Decision = 0
Round 152: Accuracy = 0.8405, Loss = 0.1123, Decision = 0
Round 153: Accuracy = 0.8402, Loss = 0.1148, Decision = 0
Round 154: Accuracy = 0.8396, Loss = 0.1167, Decision = 0
Round 155: Accuracy = 0.8397, Loss = 0.1190, Decision = 0
